MinTemp,MaxTemp,Rainfall,Evaporation
8,24.3,0,3.4
14,26.9,3.6,4.4
13.7,23.4,3.6,5.8
13.3,15.5,39.8,7.2
7.6,16.1,2.8,5.6
6.2,16.9,0,5.8
6.1,18.2,0.2,4.2
8.3,17,0,5.6
8.8,19.5,0,4
8.4,22.8,16.2,5.4
9.1,25.2,0,4.2
8.5,27.3,0.2,7.2
10.1,27.9,0,7.2
12.1,30.9,0,6.2
10.1,31.2,0,8.8
12.4,32.1,0,8.4
13.8,31.2,0,7.2
11.7,30,1.2,7.2
12.4,32.3,0.6,7.4
15.6,33.4,0,8
15.3,33.4,0,8.8
16.4,19.4,0.4,9.2
12.8,18.5,25.8,2.8
12,24.3,0.4,1.2
15.4,28.4,0,4.4
15.6,26.9,0,6.8
13.3,22.2,0.2,6.6
12.9,28,0,4.4
15.1,24.3,0,7
